"Title","Explosive_List_Corrected","Year","Country"
"THE DEVELOPMENT OF SENSORS FOR VOLATILE NITRO CONTAINING COMPOUNDS AS MODELS FOR EXPLOSIVES DETECTION","2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);Nitrotoluene (NT);",2013,"UK"
"THE DIFFUSION OF COMPONENTS FROM PROPELLANT AND LINER AT THE INTERFACES OF EPDM INSULATION","",2021,"China"
"THE DISCRIMINATION OF 72 NITRATE CHLORATE AND PERCHLORATE SALTS USING IR AND RAMAN SPECTROSCOPY","",2018,"Spain"
"THE EDUCATION OF A BOMB DOG","",2013,NA
"THE EFFECT OF ALUMINUM PARTICLES DISPERSITY ON CHARACTERISTICS OF AMMONIUM PERCHLORATE ALUMINUM COMPOSITION LASER IGNITION",";Ammonium Perchlorate",2017,"Russia"
"THE EFFECT OF AUXILIARY NITROGENATED LINKERS ON THE DESIGN OF NEW CADMIUM BASED COORDINATION POLYMERS AS SENSORS FOR THE DETECTION OF EXPLOSIVE MATERIALS","Picric Acid (PA);",2021,"Spain,Chile"
"THE EFFECT OF COMPACTION OF A POROUS MATERIAL CONFINER ON DETONATION PROPAGATION","",2018,"USA"
"THE EFFECT OF CRYSTAL STRUCTURE ON THE THERMAL REACTIVITY OF CL 20 AND ITS C4 BONDED EXPLOSIVES I THERMODYNAMIC PROPERTIES AND DECOMPOSITION KINETICS","Hexanitrohexaazaisowurtzitane (CL-20)",2013,"Czech Republic,Egypt,China"
"THE EFFECT OF CRYSTAL STRUCTURE ON THE THERMAL REACTIVITY OF CL 20 AND ITS C4 BONDED EXPLOSIVES PART II MODELS FOR OVERLAPPED REACTIONS AND THERMAL STABILITY","Hexanitrohexaazaisowurtzitane (CL-20)",2013,"Czech Republic,Egypt"
"THE EFFECT OF INERT SALTS ON EXPLOSIVE EMULSION THERMAL DEGRADATION","Ammonium Nitrate (AN);Calcium Nitrate;Sodium Nitrate;",2021,"Australia"
"THE EFFECT OF NITRATE ESTERS ON THE THERMAL DECOMPOSITION MECHANISM OF GAP","Butanetriol Trinitrate (BTTN);Glycidyl Azide Polymer;Nitroglycerin (NG);",2008,"China"
"THE EFFECT OF NITROAROMATICS COMPOSITION ON THEIR TOXICITY IN VIVO NOVEL EFFICIENT NON ADDITIVE 1D QSAR ANALYSIS","",2008,"USA,Ukraine"
"THE EFFECT OF PORE MORPHOLOGY ON HOT SPOT TEMPERATURE","",2015,"USA"
"THE EFFECT OF REUSING WIPES FOR PARTICLE COLLECTION","",2016,"USA"
"THE EFFECT OF SOIL TYPE ON THE EXTRACTION OF INSENSITIVE HIGH EXPLOSIVE CONSTITUENTS USING FOUR CONVENTIONAL METHODS","3-Nitro-1,2,4-Triazol-5-One (NTO);Cyclotrimethylene-Trinitramine (RDX);Nitrotoluene (NT);;2,4-Dinitroanisole (DNAN);Nitroguanidine (NQ)",2019,"UK"
"THE EFFECT OF SUBSURFACE MILITARY DETONATIONS ON VADOSE ZONE HYDRAULIC CONDUCTIVITY CONTAMINANT TRANSPORT AND AQUIFER RECHARGE","",2013,"Sweden,Canada,Netherlands"
"THE EFFECT OF THE PARTICLE SURFACE AND BINDER PROPERTIES ON THE RESPONSE OF POLYMER BONDED EXPLOSIVES AT LOW IMPACT VELOCITIES","",2019,"USA"
"THE EFFECT OF THE RELIEF WAVE ON THE UNIFORMITY OF AN AIR BLAST LOAD","",2014,"Iran"
"THE EFFECT OF TRANSVERSE SHOCK PROPAGATION ON THE SHOCK TO DETONATION TRANSITION PROCESS FOR AN INSENSITIVE EXPLOSIVE","",2015,"USA"
"THE EFFECT OF VEHICLE PROTECTION ON SPINE INJURIES IN MILITARY CONFLICT","",2012,"USA,Germany"
"THE EFFECTS OF CHARACTERISTICS OF SUBSTITUENTS ON TOXICITY OF THE NITROAROMATICS HIT QSAR STUDY","",2008,"USA,Ukraine"
"THE EFFECTS OF GRINDING METHODS ON METALS CONCENTRATIONS IN SOIL","",2008,"USA"
"THE EFFECTS OF YIELD STRESS AND CASING THICKNESS ON BLAST IMPULSE AND FRAGMENT VELOCITY","",2014,"UK"
"THE ELECTROCHEMICAL REDUCTION OF TRINITROTOLUENE ON A PLATINUM WIRE MODIFIED BY CHEMISORBED ACETONITRILE","2,4,6-Trinitrotoluene (TNT)",2010,"Serbia"
"THE ENGINEERING RHEOLOGY OF LIQUID EXPLOSIVES AS HIGHLY CONCENTRATED EMULSIONS","Ammonium Nitrate (AN);",2013,"South Africa,Russia"
"THE ESCHERICHIA COLI AZOR GENE PROMOTER A NEW SENSING ELEMENT FOR MICROBIAL BIODETECTION OF TRACE EXPLOSIVES","2,4-Dinitrotoluene (DNT);2,4,6-Trinitrotoluene (TNT);Dinitrotoluene (DNT);",2021,"Israel"
"THE EVALUATION OF SECONDARY AMINE PROTECTING GROUPS FOR NITRATION","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20);",2019,"USA"
"THE EVOLUTION OF SENSITIVITY IN HMX BASED EXPLOSIVES DURING THE REVERSION FROM DELTA TO BETA PHASE","Cyclotetramethylene-Tetranitramine (HMX)",2007,"USA"
"THE EXPLOSIVE DEGRADING CYTOCHROME P450 XPLA BIOCHEMISTRY STRUCTURAL FEATURES AND PROSPECTS FOR BIOREMEDIATION","Cyclotrimethylene-Trinitramine (RDX);",2011,"UK,USA"
"THE EXPLOSIVE PROPERTY OF STICKY SIDE POWDER","",2012,NA
"THE EXPLOSIVE TRINITROTOLUENE TNT INDUCES GENE EXPRESSION OF CARBONYL REDUCTASE IN THE BLUE MUSSEL MYTILUS SPP A NEW PROMISING BIOMARKER FOR SEA DUMPED WAR RELICTS","2,4,6-Trinitrotoluene (TNT)",2020,"Germany"
"THE FATE AND TRANSPORT OF NITROGLYCERIN IN THE UNSATURATED ZONE AT ACTIVE AND LEGACY ANTI TANK FIRING POSITIONS","Nitroglycerin (NG)",2012,"Canada"
"THE FATE AND TRANSPORT OF RDX HMX TNT AND DNT IN THE VOLCANIC SOILS OF HAWAII A LABORATORY AND MODELING STUDY","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Dinitrotoluene (DNT)",2011,"USA"
"THE FIRST CASE OF C4 BLAST RELATED DEATH IN MALAYSIA A MULTIDISCIPLINARY APPROACH ILLUSTRATED WITH EMPHASIS ON CONJOINT ANTHROPOLOGIC AND RADIOLOGIC EXPERTISE IN FORENSIC IDENTIFICATION OF SKELETAL REMAINS","Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN);",2021,"Malaysia"
"THE FORMATION OF ENERGETIC COMPOSITES BY EMBEDDING MULTI NITRO ORGANIC MOLECULES IN AN ORDERED MESOPOROUS CARBON","Picric Acid (PA);",2012,"China"
"THE FUTURE OF PORTABLE SPECTROSCOPY","",2020,"USA"
"THE GROWTH OF CARBON NANOPARTICLES DURING THE DETONATION OF TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",2016,"Russia"
"THE HEATS OF FORMATION IN A SERIES OF NITROESTER ENERGETIC COMPOUNDS A THEORETICAL STUDY","",2009,"China"
"THE HETEROGENEOUS IMPACT OF FINANCIAL DEVELOPMENT ON GREEN TOTAL FACTOR PRODUCTIVITY","",2020,"China"
"THE HIGH PRESSURE CHARACTERIZATION OF MELT CASTABLE ENERGETIC MATERIALS 3 3 BIS OXADIAZOLE 5 5 BIS METHYLENE DINITRATE","",2019,"USA"
"THE HIGH PRESSURE PHASE BEHAVIOR AND COMPRESSIBILITY OF 2 4 6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",2008,"USA"
"THE IDENTIFICATION OF CHLORINATED ACETONES IN ANALYSES OF AGED TRIACETONE TRIPEROXIDE TATP","Triacetone Triperoxide (TATP)",2012,"Australia"
"THE IDENTIFICATION OF EXPLOSIVES IN MILLIMETER WAVE IMAGING SYSTEMS","Composition B;",2018,"USA"
"THE IDENTIFICATION OF THE EMULSIFIER COMPONENT OF EMULSION EXPLOSIVES BY LIQUID CHROMATOGRAPHY MASS SPECTROMETRY","Ammonium Nitrate (AN);",2006,"Australia"
"THE IMPACT OF CRYSTAL MORPHOLOGY ON THE THERMAL RESPONSES OF ULTRASONICALLY EXCITED ENERGETIC MATERIALS","Ammonium Perchlorate;",2016,"USA"
"THE IMPACT OF FORCE TIME AND ROTATION ON THE TRANSFER OF AMMONIUM NITRATE A REDUCTIONIST APPROACH TO UNDERSTANDING EVIDENCE DYNAMICS","Ammonium Nitrate (AN)",2022,"UK"
"THE IMPACT OF TIME ON THE DETONATION CAPACITY OF BULK EMULSION EXPLOSIVES BASED ON EMULINIT 8L","",2018,"Poland"
"THE INFLUENCE OF SOME BLASTING TECHNIQUES ON THE PROBABILITY OF IGNITION OF FIREDAMP BY PERMISSIBLE EXPLOSIVES","",2008,"Spain"
"THE INFLUENCE OF TEMPERATURE ON THE DETONATION VELOCITY OF SELECTED EMULSION EXPLOSIVES","Dynamite;",2020,"Poland"
"THE INSENSITIVE ENERGETIC MATERIAL TRIFURAZANO OXACYCLOHEPTATRIENE TFO SYNTHESIS AND DETONATION PROPERTIES","Cyclotrimethylene-Trinitramine (RDX);",2015,"China"
"THE INVESTIGATION OF AM BE NEUTRON SOURCE SHIELD EFFECT USED ON LANDMINE DETECTION",";2,4,6-Trinitrotoluene (TNT)",2007,"Iran"
"THE LABS THAT GO BOOM","",2012,NA
"THE LIBERALIZATION OF FIREWORKS LEGISLATION AND ITS EFFECTS ON FIREWORK RELATED INJURIES IN WEST VIRGINIA","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX);",2020,"USA"
"THE LIMIT OF DETECTION FOR EXPLOSIVES IN SPECTROSCOPIC DIFFERENTIAL REFLECTOMETRY","2,4,6-Trinitrotoluene (TNT);",2011,"USA"
"THE LIMITATIONS OF ASSOCIATED ALPHA PARTICLE TECHNIQUE FOR CONTRABAND CONTAINER INSPECTIONS","",2007,"Croatia"
"THE MANAGEMENT OF CASEWORK WITHIN THE UNITED KINGDOM FORENSIC EXPLOSIVES LABORATORY","",2011,"UK"
"THE NATURAL SAMPLING OF AIRBORNE TRACE SIGNALS FROM EXPLOSIVES CONCEALED UPON THE HUMAN BODY","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);",2001,"USA"
"THE NEED AND POSSIBILITIES OF SIMULANTS OF EXPLOSIVES FOR MULTISENSOR DATA FUSION TECHNIQUES","",2010,NA
"THE NETHERLANDS BOMB DATA SYSTEM AS AN EXAMPLE OF REAL TIME MULTIDISCIPLINARY INFORMATION EXCHANGE","",2012,NA
"THE NEW DESCRIPTORS EFFECTIVE ON THE DETONATION PERFORMANCE OF ALUMINIZED EXPLOSIVES","",2020,"Iran"
"THE NON ISOTHERMAL GRAVIMETRIC METHOD FOR STUDY THE THERMAL DECOMPOSITION KINETIC OF HNBB AND HNS EXPLOSIVES","Hexanitrostilbene (HNS)",2020,"Iran"
"THE NOVEL ANTHRACENE DECORATED DENDRIMERIC CYCLOPHOSPHAZENES FOR HIGHLY SELECTIVE SENSING OF 2 4 6 TRINITROTOLUENE TNT","2,4,6-Trinitrotoluene (TNT)",2019,"Turkey"
"THE PERFORMANCE OF A FAST TESTING SYSTEM FOR ILLICIT MATERIALS DETECTION BASED ON ENERGY DISPERSIVE X RAY DIFFRACTION TECHNIQUE","2,4,6-Trinitrotoluene (TNT);",2010,"China"
"THE PERFORMANCE OF SPATIALLY OFFSET RAMAN SPECTROSCOPY FOR LIQUID EXPLOSIVE DETECTION","",2016,"UK"
"THE PHOTOSTABILITY AND DEGRADATION PATHWAYS OF TKX 50 AS A REPRESENTATIVE OF NITROGEN RICH ENERGETIC SALTS IN AQUEOUS SOLUTION","5,5-Bistetrazole-1,1-Diolate (TKX-50)",2021,"China"
"THE PORTABLE DETECTOR OF NITRO EXPLOSIVES IN VAPOR PHASE WITH NEW SENSING ELEMENTS ON A BASE OF PYRIMIDINE SCAFFOLD","",2017,"Russia"
"THE POST BLAST ANALYSIS OF CHLORATE AND PERCHLORATE EXPLOSIVE COMPOSITIONS","",2010,NA
"THE POTENTIAL FOR HIGH LEVEL TECHNIQUES TO PROVIDE HIGH LEVEL INFORMATION FROM ANALYSIS OF EXPLOSIVES","",2010,NA
"THE POTENTIAL OF FOX 7 EXPLOSIVE IN INSENSITIVE MUNITION DESIGN","1,1-Diamino-2,2-Dinitroethylene (FOX-7)",2011,"UK"
"THE POTENTIAL OF ISOTOPE RATIO MASS SPECTROMETRY IRMS AND GAS CHROMATOGRAPHY IRMS ANALYSIS OF TRIACETONE TRIPEROXIDE IN FORENSIC EXPLOSIVES INVESTIGATIONS","Triacetone Triperoxide (TATP)",2016,"Netherlands"
"THE POTENTIALITY OF IMPROVISED EXPLOSIVE DEVICES TO TRIGGER DOMINO EFFECTS","",2018,NA
"THE PRODUCTION OF MONODISPERSE EXPLOSIVE PARTICLES WITH PIEZO ELECTRIC INKJET PRINTING TECHNOLOGY","Ammonium Nitrate (AN);Composition A;Cyclotrimethylene-Trinitramine (RDX);",2015,"USA"
"THE QUALITATIVE ANALYSIS OF THE SELECTED EXPLOSIVES USING THIN LAYER CHROMATOGRAPHY","2,4,6-Trinitrotoluene (TNT);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Tetryl;",2015,"Czech Republic"
"THE REACTIVITY OF ENERGETIC MATERIALS UNDER HIGH PRESSURE AND TEMPERATURE","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);Cyclotetramethylene-Tetranitramine (HMX);Pentaerythritol Tetranitrate (PETN);",2014,"USA"
"THE RESPONSE OF THE HMX BASED MATERIAL PBXN 9 TO THERMAL INSULTS THERMAL DECOMPOSITION KINETICS AND MORPHOLOGICAL CHANGES","Cyclotetramethylene-Tetranitramine (HMX)",2011,"USA"
"THE RISK OF MIXING DILUTE HYDROGEN PEROXIDE AND ACETONE SOLUTIONS","Triacetone Triperoxide (TATP);",2012,"USA"
"THE ROLE OF AL REACTION RATE IN THE DAMAGE EFFECT AND ENERGY OUTPUT OF RDX BASED ALUMINIZED EXPLOSIVES IN CONCRETE","Cyclotrimethylene-Trinitramine (RDX)",2019,"China"
"THE ROLE OF CT ANGIOGRAPHY IN MILITARY TRAUMA","",2013,"UK"
"THE ROLE OF METABOLISM IN THE TOXICITY OF 2 4 6 TRINITROTOLUENE AND ITS DEGRADATION PRODUCTS TO THE AQUATIC AMPHIPOD HYALELLA AZTECA","2,4,6-Trinitrotoluene (TNT);Nitrotoluene (NT);1,3,5-Trinitrobenzene (TNB);Dinitrotoluene (DNT)",2008,"USA"
"THE ROLE OF NUTRIENTS IN THE BIODEGRADATION OF 2 4 6 TRINITROTOLUENE IN LIQUID ANDSOIL","2,4,6-Trinitrotoluene (TNT)",2012,"Latvia"
"THE ROLE OF OXOPHYTODIENOATE REDUCTASES IN THE DETOXIFICATION OF THE EXPLOSIVE 2 4 6 TRINITROTOLUENE BY ARABIDOPSIS","2,4,6-Trinitrotoluene (TNT)",2009,"UK"
"THE SCIENTIFIC FOUNDATION AND EFFICACY OF THE USE OF CANINES AS CHEMICAL DETECTORS FOR EXPLOSIVES","Composition C;Cyclotrimethylene-Trinitramine (RDX);",2001,"USA"
"THE SENSITIVITY TO FRICTION FOR IMPROVISED PRIMARY EXPLOSIVES AND METHOD OF THEIR DESENSITIZATION","",2012,"Czech Republic"
"THE SEPARATION OF X RAY DIFFRACTION PATTERNS FOR THREAT DETECTION","",2010,"UK"
"THE SIGNATURE BASED RADIATION SCANNING APPROACH TO STANDOFF DETECTION OF IMPROVISED EXPLOSIVE DEVICES","",2012,"USA"
"THE SIGNIFICANCE OF ANALYTICAL RESULTS IN EXPLOSIVES INVESTIGATION","Black Powder;",2011,NA
"THE SOIL MOISTURE AND ITS EFFECT ON THE DETECTION OF BURIED HYDROGENOUS MATERIAL BY NEUTRON BACKSCATTERING TECHNIQUE","",2009,"Iran"
"THE SPATIAL DISTRIBUTION OF POSTBLAST RDX RESIDUE FORENSIC IMPLICATIONS",";Cyclotrimethylene-Trinitramine (RDX)",2013,"UK"
"THE SPECIFIC IMPULSE AS AN IMPORTANT PARAMETER FOR PREDICTING CHEMICAL HIGH EXPLOSIVES PERFORMANCE","Composition I;",2018,"Lebanon"
"THE SPECTROSCOPIC FINGERPRINT OF TNT BETWEEN 395 AND 495 NM DETERMINED FROM TRANSMISSION NEAR FIELD OPTICAL MICROSCOPY MEASUREMENTS","2,4,6-Trinitrotoluene (TNT)",2006,"USA"
"THE STABILITY OF TNT RDX AND PETN IN SIMULATED POST EXPLOSION SOILS IMPLICATIONS OF SAMPLE PREPARATION FOR ANALYSIS","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Pentaerythritol Tetranitrate (PETN)",2017,"Australia,UK"
"THE STUDY OF THERMAL DECOMPOSITION OF RDX BY CORONA DISCHARGE ION MOBILITY SPECTROMETRY MASS SPECTROMETRY","Cyclotrimethylene-Trinitramine (RDX)",2015,"Slovakia"
"THE THERMAL DECOMPOSITION BEHAVIOR OF THE TNT RDX AL EXPLOSIVE BY MOLECULAR KINETIC SIMULATION","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX)",2021,"China"
"THE THERMAL PROPERTIES OF NITROCELLULOSE FROM THERMAL DECOMPOSITION TO THERMAL EXPLOSION","Nitrocellulose (NC)",2018,"China,Australia"
"THE TNT AND ANFO EQUIVALENCES OF THE BEIRUT EXPLOSION","2,4,6-Trinitrotoluene (TNT);Ammonium Nitrate (AN)",2021,"Canada"
"THE UNDERLYING TERAHERTZ VIBRATIONAL SPECTRUM OF EXPLOSIVES SOLIDS","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);",2008,"USA"
"THE UNDERWATER DETECTION OF TNT EXPLOSIVE","2,4,6-Trinitrotoluene (TNT)",2011,"Croatia"
"THE UNIQUE SYNTHESIS OF A GREEN METAL FREE PRIMARY EXPLOSIVE 3 3 AZO 5 5 DIAZIDO 1 2 4 TRIAZOLE","Cyclotrimethylene-Trinitramine (RDX);",2020,"China"
"THE USE CONSTRUCTED WETLANDS WITH HORIZONTAL SUB SURFACE FLOW FOR VARIOUS TYPES OF WASTEWATER","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX);",2009,"Czech Republic"
"THE USE OF A PREDICTIVE THREAT ANALYSIS TO PROPOSE REVISIONS TO EXISTING RISK ASSESSMENTS FOR PRECURSOR CHEMICALS USED IN THE MANUFACTURE OF HOME MADE EXPLOSIVES HME","Ammonium Nitrate (AN);Potassium Chlorate;",2021,"UK"
"THE USE OF ALPHA PARTICLE TAGGED NEUTRONS FOR THE INSPECTION OF OBJECTS ON THE SEA FLOOR FOR THE PRESENCE OF EXPLOSIVES","2,4,6-Trinitrotoluene (TNT);",2013,"Croatia,France"
"THE USE OF CAPILLARY ELECTROPHORESIS IN THE DETECTION OF MONOMETHYLAMINE AND BENZOATE IONS IN THE FORENSIC EXAMINATION OF EXPLOSIVES RESIDUES","",2001,"USA"
"THE USE OF CRAB SHELL CHITIN FOR BIOLOGICAL DENITRIFICATION BATCH AND COLUMN TESTS","",2009,"USA"
"THE USE OF DIGITAL SPECKLE RADIOGRAPHY TO STUDY THE BALLISTIC DEFORMATION OF A POLYMER BONDED SUGAR AN EXPLOSIVE SIMULANT","",2010,"UK"
"THE USE OF GEOSCIENCE METHODS FOR TERRESTRIAL FORENSIC SEARCHES","",2012,"UK,Australia"
"THE USE OF PORTABLE SEPARATION DEVICES FOR FORENSIC ANALYSIS A REVIEW OF RECENT LITERATURE","",2021,"USA"
"THE USE OF ULTRA HIGH PERFORMANCE LIQUID CHROMATOGRAPHY FOR STUDYING HYDROLYSIS KINETICS OF CL 20 AND RELATED ENERGETIC COMPOUNDS","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20)",2009,"USA"
"THE VAPOR PRESSURES OF EXPLOSIVES","4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX);;2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Nitroglycerin (NG);Pentaerythritol Tetranitrate (PETN)",2013,"USA"
"THE VISCOELASTIC CONTRIBUTION TO POLYMER COATED SAW SENSOR FOR TNT VAPOR DETECTION",";2,4,6-Trinitrotoluene (TNT)",2016,"China"
"THE WEST TEXAS AMMONIUM NITRATE EXPLOSION A FAILURE OF REGULATION","Ammonium Nitrate (AN);4,10-Dinitro-2,6,8,12-Tetraoxa-4,10-Diazawurtzitane (TEX)",2017,"USA"
"THEORECTICAL STUDIES ON SURFACE INDUCED ENERGETIC ELECTRONIC AND VIBRATIONAL PROPERTIES OF TRIAMINO TRINITROBENZENE NANOPARTICLES","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);",2021,"China"
"THEORETICAL ANALYSIS OF THE SOLID STATE TERAHERTZ SPECTRUM OF THE HIGH EXPLOSIVE RDX","Cyclotrimethylene-Trinitramine (RDX)",2008,"USA,UK"
"THEORETICAL AND EXPERIMENTAL STUDIES ON BLAST WAVE PROPAGATION IN AIR","2,4,6-Trinitrotoluene (TNT);Composition B;",2015,"India"
"THEORETICAL AND EXPERIMENTAL STUDY OF SENSING TRIACETONE TRIPEROXIDE TATP EXPLOSIVE THROUGH NANOSTRUCTURED TIO2 SUBSTRATE","Triacetone Triperoxide (TATP)",2014,"USA"
"THEORETICAL CALCULATION AND EXPERIMENTAL STUDY ON THE INTERACTION MECHANISM BETWEEN TKX 50 AND AP","5,5-Bistetrazole-1,1-Diolate (TKX-50);Ammonium Perchlorate",2020,"China"
"THEORETICAL EVALUATION OF SENSITIVITY AND THERMAL STABILITY FOR HIGH EXPLOSIVES BASED ON QUANTUM CHEMISTRY METHODS A BRIEF REVIEW","",2013,"Czech Republic"
"THEORETICAL INSIGHT INTO THE EFFECT OF SOLVENT POLARITY ON THE FORMATION AND MORPHOLOGY OF 2 4 6 8 10 12 HEXANITROHEXAAZAISOWURTZITANE CL 20 2 4 6 TRINITRO TOLUENE TNT COCRYSTAL EXPLOSIVE","2,4,6-Trinitrotoluene (TNT);Hexanitrohexaazaisowurtzitane (CL-20)",2018,"China"
"THEORETICAL INVESTIGATION ON DETONATION PERFORMANCES AND THERMODYNAMIC STABILITIES OF THE PRISMANE DERIVATIVES","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB);",2013,"China"
"THEORETICAL INVESTIGATIONS INTO EFFECTS OF ADULTERATION CRYSTAL DEFECT ON PROPERTIES OF CL 20 TNT COCRYSTAL EXPLOSIVE","2,4,6-Trinitrotoluene (TNT);Hexanitrohexaazaisowurtzitane (CL-20)",2019,"China"
"THEORETICAL INVESTIGATIONS ON STABILITIES SENSITIVITY ENERGETIC PERFORMANCE AND MECHANICAL PROPERTIES OF CL 20 NTO COCRYSTAL EXPLOSIVES BY MOLECULAR DYNAMICS SIMULATION","3-Nitro-1,2,4-Triazol-5-One (NTO);Hexanitrohexaazaisowurtzitane (CL-20);Nitrotoluene (NT)",2018,"China"
"THEORETICAL PREDICTION MODEL AND EXPERIMENTAL INVESTIGATION OF DETONATION LIMITS IN COMBUSTIBLE GASEOUS MIXTURES","",2019,"China"
"THEORETICAL PREDICTION OF PRESSURE AND TEMPERATURE OF AN ALUMINIZED HIGH EXPLOSIVE IN UNDERWATER EXPLOSION","HBX;",2014,"India"
"THEORETICAL STUDIES ON POLYNITRO 1 3 BISHOMOPENTAPRISMANES AS POTENTIAL HIGH ENERGY DENSITY COMPOUNDS","",2009,"China"
"THEORETICAL STUDIES ON THE STRUCTURE AND DETONATION PROPERTIES OF AMINO METHYL AND NITRO SUBSTITUTED 3 4 5 TRINITRO 1H PYRAZOLES","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2010,"India"
"THEORETICAL STUDIES ON THE STRUCTURES DENSITIES DETONATION PROPERTIES AND THERMAL STABILITY OF 2 4 6 TRINITROPYRIDINE N OXIDE TNPYO AND ITS DERIVATIVES","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20);Picric Acid (PA);Trinitropyridine;Trinitropyridine-N-Oxide",2013,"China"
"THEORETICAL STUDIES ON THE STRUCTURES THERMODYNAMIC PROPERTIES DETONATION PROPERTIES AND PYROLYSIS MECHANISMS OF FOUR TRINITRATE ESTERS","Butanetriol Trinitrate (BTTN);Nitroglycerin (NG);Trimethylolethane Trinitrate (TMETN);",2009,"China"
"THEORETICAL STUDY OF BREAKING AND SLIPPING PROCESSES FOR HMX GRAPHITE INTERFACE","Cyclotetramethylene-Tetranitramine (HMX)",2012,"China"
"THEORETICAL STUDY ON NEW HIGH ENERGETIC DENSITY COMPOUNDS WITH HIGH POWER AND SPECIFIC IMPULSE","",2021,NA
"THERMAL ANALYSIS FOR DETECTION AND IDENTIFICATION OF EXPLOSIVES AND OTHER CONTROLLED SUBSTANCES","",2002,NA
"THERMAL ANALYSIS OF RDX WITH CONTAMINANTS","Cyclotrimethylene-Trinitramine (RDX)",2006,"Taiwan"
"THERMAL AND MECHANICAL RESPONSE OF PARTICULATE COMPOSITE PLATES UNDER INERTIAL EXCITATION","",2014,NA
"THERMAL AND MECHANICAL RESPONSE OF PBX 9501 UNDER CONTACT EXCITATION","Cyclotetramethylene-Tetranitramine (HMX);",2013,"USA"
"THERMAL AND SPECTROSCOPIC ANALYSIS OF NITRATED COMPOUNDS AND THEIR BREAK DOWN PRODUCTS USING GAS CHROMATOGRAPHY VACUUM UV SPECTROSCOPY GC VUV","Nitroglycerin (NG);",2021,"USA"
"THERMAL BEHAVIOR AND COMBUSTION MECHANISM OF HIGH NITROGEN ENERGETIC MATERIALS DHT AND BTATZ","",2012,"Russia"
"THERMAL BEHAVIOR AND DECOMPOSITION KINETICS OF FORMEX BONDED EXPLOSIVES CONTAINING DIFFERENT CYCLIC NITRAMINES","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20);",2013,"Czech Republic,Egypt"
"THERMAL BEHAVIOR AND DETONATION CHARACTERIZATION OF 3 3 DINITROAZETIDINIUM SALICYLATE","",2019,"China"
"THERMAL BEHAVIOR AND MICRO STRUCTURE OF TKX 50","5,5-Bistetrazole-1,1-Diolate (TKX-50)",2021,"Germany"
"THERMAL BEHAVIOR AND STABILITY OF EMULSION EXPLOSIVES IN THE PRESENCE OF FERROUS ION","Ammonium Nitrate (AN);",2020,"China"
"THERMAL BEHAVIOR COMPATIBILITY STUDY AND SAFETY ASSESSMENT OF DIAMMONIUM 5 5 BISTETRAZOLE 1 1 DIOLATE ABTOX","1,1-Diamino-2,2-Dinitroethylene (FOX-7);2,6-Diamino-3,5-Dinitropyrazine-1-Oxide (LLM-105);3-Nitro-1,2,4-Triazol-5-One (NTO);5,5-Bistetrazole-1,1-Diolate (TKX-50);Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20);Nitrotoluene (NT)",2020,"China"
"THERMAL BEHAVIOR OF 1 7 DIAMINO 1 7 DINITRIMINO 2 4 6 TRINITRO 2 4 6 TRIAZAHEPTANE","",2012,"China"
"THERMAL BEHAVIOR OF GRAPHENE OXIDE AND ITS STABILIZATION EFFECTS ON TRANSITION METAL COMPLEXES OF TRIAMINOGUANIDINE","Triaminoguanidine Nitrate (TAGN);",2019,"China"
