"","AIKeywords"
"6474","DRUG SCREENING"
"6475","ION SOURCES"
"6476","LOW-TEMPERATURE PLASMA"
"6477","MASS SPECTROMETRY IMAGING"
"6478","PORTABLE DETECTORS"
"6479","WARFARE AGENTS"
"6480","FIA APCI/ESI MSMS"
"6481","PC TETRYL"
"6482","AERODYNAMIC DROPLET BREAKUP"
"6483","MASS SPECTROMETRIC ANALYSIS"
"6484","MORPHINE"
"6485","SEMI-QUANTITATIVE ANALYSIS"
"6486","EXACTIVE"
"6487","INSTRUMENT DEVELOPMENT"
"6488","MEMBRANE PROTEIN"
"6489","ORBITRAP"
"6490","BIOLOGICAL SAMPLE"
"6491","NON-VOLATILE COMPOUND"
"6492","HIERARCHICAL CLUSTER ANALYSIS"
"6493","MULTIPLEXED COLLISION-INDUCED DISSOCIATION"
"6494","NON-TARGETED MASS SPECTROMETRY"
"6495","APLD"
"6496","MAPPING"
"6497","ON-LINE MEASUREMENT"
"6498","POST BLAST RESIDUE DETECTION"
"6499","DIRECT ANALYSIS IN REAL TIME MASS SPECTROMETRY (DART-MS)"
"6500","GAS CHROMATOGRAPHYÒMASS SPECTROMETRY (GCÒMS)"
"6501","VAPOR SOURCE"
"6502","2,4,6,N-TETRANITRO-N-METHYLANILINE"
"6503","GAS CHROMATOGRAPHY ISOTOPE RATIO MASS SPECTROMETRY"
"6504","COMPONENT SEPARATION"
"6505","GRAVIMETRIC ANALYSIS"
"6506","NITROGEN ISOTOPE"
"6507","OXYGEN ISOTOPE"
"6508","TIME SERIES"
"6509","COMPOUND-SPECIFIC"
"6510","PLASTIC EXPLOSIVE"
"6511","R ENVIRONMENT"
"6512","RESOLUTION"
"6513","CHEMICAL AGENTS"
"6514","DUAL-WAVELENGTH RAMAN"
"6515","EXPLOSIVE-RELATED COMPOUNDS"
"6516","MOLECULAR VIBRATIONS"
"6517","2,6-DNT"
"6518","GATED RAMAN SPECTROSCOPY"
"6519","FORENSIC DETECTION"
"6520","MAN-PORTABLE"
"6521","CRIMINALISTICS"
"6522","DIATOM BIOSILICA"
"6523","HYDROPHILIC SURFACE"
"6524","HYBRID DFT METHODS"
"6525","NORMAL MODE"
"6526","RAMAN SHIFT"
"6527","DFT METHODS"
"6528","PHOTOACOUSTIC SPECTRUM"
"6529","RAMAN SPECTRA"
"6530","EOD"
"6531","HAZMAT"
"6532","MPE"
"6533","COMPRESSIVE SENSING"
"6534","DIGITAL MICROMIRROR DEVICE"
"6535","DMD"
"6536","IMAGING RAMAN"
"6537","PHOTONIC CRYSTAL FIBER"
"6538","RAMAN SPECTROMETER"
"6539","CLOTHING TEXTILES"
"6540","LONG-RANGE SERS EFFECT"
"6541","SINUSOIDAL GRATING"
"6542","SURFACE PLASMON POLARITONS"
"6543","PEARSON CORRELATION"
"6544","3,3'-DINITRIMINO-5,5'-BIS(1H-1,2,4-TRIAZOLE)"
"6545","DNABT"
"6546","DIELECTRIC HEATING"
"6547","DIRECTED ENERGY"
"6548","ELECTROMAGNETIC LOADING"
"6549","FDTD"
"6550","HIGH POWER MICROWAVES"
"6551","SUBWAVELENGTH SCATTERING"
"6552","CONDUCTIVE BURNING"
"6553","GRANULAR EXPLOSIVE"
"6554","HEAT OF COMBUSTION"
"6555","NITRIC ESTERS"
"6556","COMBINED PARTICLE"
"6557","PLASTIC BONDED EXPLOSIVES"
"6558","POLY(VDFÒCTFE) COPOLYMER"
"6559","ACIDIC CONDITIONS"
"6560","POTASSIUM CHLORIDE"
"6561","COUNTERMEASURE"
"6562","EXPLOSIVE DEVICE"
"6563","HMX-BASED POLYMER-BONDED EXPLOSIVES"
"6564","AUTOCATALYTIC"
"6565","CYCLOTETRAMETHYLENE TETRAMINE"
"6566","MULTIVARIATE NONLINEAR REGRESSION"
"6567","AMMONIUM NITRATE EMULSION"
"6568","MODIFIED VENTED PIPE TEST"
"6569","THERMAL DECOMPOSITION CHARACTERISTICS"
"6570","AMMONIUM DIHYDROGEN PHOSPHATE"
"6571","EVOLVED GAS ANALYSIS"
"6572","INHIBITOR"
"6573","THERMAL DECOMPOSITION BEHAVIOR"
"6574","DECOUPLING"
"6575","DYNAMIC AND ISOTHERMAL DSC"
"6576","ISOTHERMAL KINETIC MODEL"
"6577","THERMAL DECOMPOSITION CHARACTERISTIC"
"6578","POTASSIUM PERCHLORATE"
"6579","CORELLATION INDEX"
"6580","IMAGE SUBTRACTION"
"6581","SURFACE PLASMON RESONANCE (SPR)"
"6582","VISUALIZED SENSING"
"6583","ELECTROCHEMICAL MEASUREMENTS"
"6584","NATURAL CLAY"
"6585","SENSING ELECTRODE"
"6586","NANOSPRING"
"6587","PERCOLATION MODEL"
"6588","ROOM-TEMPERATURE OPERATION"
"6589","ULTRAFAST LASER ABLATION"
"6590","SHAPE-CONTROLLED SYNTHESIS"
"6591","TIP-ENHANCED RAMAN SCATTERING"
"6592","ION COUNTING"
"6593","ION DETECTION"
"6594","TRACE GAS SENSING"
"6595","ULTRA-LOW ELECTRIC CURRENT"
"6596","ANTIMONENE"
"6597","MOLECULAR DEVICE"
"6598","NANOSHEET"
"6599","AMBIENT AIR"
"6600","NANOSTRUCTURE"
"6601","NITROEXPLOSIVES"
"6602","POLYPYRROLE"
"6603","CHEMICAL MICROSENSORS"
"6604","HIGH EFFICIENCY GASES DETECTION"
"6605","NANOSTRUCTURED METAL OXIDES"
"6606","INDIUM DOPING"
"6607","NITRO-EXPLOSIVE VAPORS DETECTION"
"6608","OXYGEN VACANCIES"
"6609","OPTOELECTRONIC"
"6610","SCHOTTKY SENSOR"
"6611","2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE"
"6612","SPECTROPHOTOMETRIC DETECTION"
"6613","ELECTRONIC NOSE (E-NOSE)"
"6614","2 4-DINITROTOLUENE"
"6615","POLYPYRROLE NANOPARTICLES"
"6616","HYDROGEN PEROXIDE VAPOR"
"6617","PLATINUM NANOPARTICLES"
"6618","SINGLE-WALLED CARBON NANOTUBES"
"6619","ELECTRO-EXPLOSIVE DEVICE"
"6620","NANO-ENERGETIC MULTILAYERS FILMS"
"6621","SEMICONDUCTOR BRIDGE"
"6622","LIGHT-RESPONSIVE"
"6623","RADICALS"
"6624","GAS-PHASE DETECTION"
"6625","SORET COLLOIDS"
"6626","THERMO-MIGRATION"
"6627","GRAPHYNE"
"6628","COPPER OXIDE"
"6629","LANTHANUM OXIDE"
"6630","NANOCATALYST EFFECT"
"6631","THERMAL DECOMPOSITION KINETIC"
"6632","THERMODYNAMIC PARAMETERS"
"6633","PREVENTIVE FORENSIC"
"6634","NANOSIZED"
"6635","CDTE QUANTUM DOTS"
"6636","NANOHYBRID"
"6637","RATIOMETRIC FLUORESCENCE"
"6638","VISUAL DETERMINATION"
"6639","IMPEDIMETRIC DETECTION"
"6640","MOLECULAR IMPRINTING POLYMER"
"6641","2D MATERIALS"
"6642","MXENE"
"6643","TI2NTX"
"6644","MAGNETRON SPUTTERING"
"6645","METAL"
"6646","PERCOLATION THRESHOLD"
"6647","SILVER"
"6648","SILVER PHTHALOCYANINE"
"6649","GOLD NANOPARTICLES (AUNPS)"
"6650","TNT BINDING PEPTIDE"
"6651","Π-Π INTERACTION"
"6652","DISCRIMINATIVE DETECTION"
"6653","NANOFIBROUS MEMBRANES"
"6654","COPPER NANOCLUSTERS"
"6655","L-CYSTINE MODIFICATION"
"6656","TURN-ON"
"6657","M-AMINOBENZENESULFONIC ACID"
"6658","THIN-LAYERED MOS2"
"6659","CARBON NANOTUBE-GRAPHENE NETWORK"
"6660","NANOHYBRID MODIFIED PRINTED ELECTRODE"
"6661","PD NANOFLOWERS"
"6662","PORTABLE ELECTROCHEMICAL SENSING PLATFORM"
"6663","GRAPHENE NANORIBBON"
"6664","HETEROATOM DOPING"
"6665","WIRELESS"
"6666","ANTI-PHOTOBLEACHING"
"6667","HYDROGEN PEROXIDE DETECTION"
"6668","MICROWAVE-ASSISTED SOLÒGEL ROUTE"
"6669","RARE-EARTH VANADATE NANOPARTICLES"
"6670","COPPER NANOCLUSTER"
"6671","PAPER STRIP SENSOR"
"6672","MECHANOCHEMISTRY"
"6673","SEMICONDUCTOR"
"6674","STANNITE"
"6675","EXPLOSIVE SENSORS"
"6676","MICROSENSORS"
"6677","NANOPOROUS POLYMERS"
"6678","NITRO-GROUP"
"6679","COLORIMETRIC TESTING"
"6680","MICROFLUIDIC PAPER-BASED ANALYTICAL DEVICE (ΜPAD)"
"6681","MACROCYCLES"
"6682","CHEMIRESISTOR GAS SENSOR"
"6683","ELECTROSYNTHESIS"
"6684","LUMINESCENCE PROPERTIES"
"6685","SELECTIVE DETECTION"
"6686","TOPOLOGY"
"6687","ZN-MOFS"
"6688","NITROARENE DETECTION"
"6689","TRUXENE"
"6690","TRANSMISSION"
"6691","MICROFLUIDIC PAPER-BASED ANALYTICAL DEVICE"
"6692","ONSITE ANALYSIS"
"6693","PAPER-BASED ANALYTICAL DEVICE"
"6694","METHYLATED SILICA"
"6695","RELATIVE HUMIDITY"
"6696","BULK DETECTION"
"6697","LIBRARY FREE DETECTION"
"6698","NANO STRUCTURED GAS SENSORS"
"6699","PHYSICAL SENSORS"
"6700","CHEMIRESISTOR SENSOR"
"6701","CHEMICALS"
"6702","HYDROGELS"
"6703","CRYSTAL ENGINEERING"
"6704","METALÒORGANIC FRAMEWORKS"
"6705","ALUMINIUM PHOSPHATE"
"6706","MESOPOROUS"
"6707","RECYCLABLE"
"6708","TERBIUM"
"6709","2,4,6-TRINITROPHENOL (TNP)"
"6710","CARBON NANODOTS (CNDS)"
"6711","HYDROTHERMAL ROUTE"
"6712","MOLECULAR IMPRINTING TECHNOLOGY"
"6713","TNT VISUAL DETECTION"
"6714","FLUORESCENT SENSING"
"6715","MOFS"
"6716","WHITE LIGHT EMISSION"
"6717","DUAL- EMISSIVE FILMS"
"6718","RATIOMETRIC FLUORESCENCE SENSORS"
"6719","CNTFET"
"6720","GELS"
"6721","LANTHANIDEÒORGANIC FRAMEWORK"
"6722","PERFORMANCE IMPROVEMENT"
"6723","CLASSIFICATION OF LIQUIDS"
"6724","FREE SPACE MEASUREMENT"
"6725","MULTIVARIATE DATA ANALYSIS"
"6726","CARBON SUBMICROSPHERES"
"6727","HYDROXYL GROUP"
"6728","CARBON QUANTUM DOTS"
"6729","MACROCYCLE"
"6730","PILLAR[N]ARENE"
"6731","COPPER COMPLEXES"
"6732","INTERNAL ROTATION"
"6733","NITRITE ION"
"6734","PHOTOLUMINESCENCE QUENCHING"
"6735","PAPER SENSOR"
"6736","POROUS POLYMERS"
"6737","REUSABILITY"
"6738","ORGANIC FIELD EFFECT TRANSISTOR (OFET)"
"6739","PARYLENE-C"
"6740","PLASMA OXIDATION"
"6741","SOLIDS"
"6742","FLUOROMETRIC"
"6743","INNER FILTER EFFECT (IFE)"
"6744","EPITAXIAL GRAPHENE"
"6745","PLASMA MODIFIED GRAPHENE"
"6746","CARBAZOLES"
"6747","TRIPHENYLAMINES"
"6748","LUMINESCENT MOF"
"6749","MERCURY ION"
"6750","ZNS NANOCRYSTALS"
"6751","FOLDAMERS"
"6752","TNT VAPOR DETECTION"
"6753","MIXED-LIGAND"
"6754","SOLVOTHERMAL SYNTHESIS"
"6755","VISUAL SENSING"
"6756","RECOGNITION MECHANISM"
"6757","DYNAMICAL MECHANICAL ANALYSIS (DMA)"
"6758","LASER INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"
"6759","PLASTIC BONDED EXPLOSIVE (PBX)"
"6760","ABERRATIONS."
"6761","SCHMIDT-CASSEGRAIN"
"6762","EVIDENCE PRESERVATION"
"6763","SCANNING ELECTRON MICROSCOPY ENERGY DISPERSIVE X-RAY SPECTROSCOPY"
"6764","SEM-EDX"
"6765","AMMONIUM PERSULFATE"
"6766","HYBRID INSTRUMENT"
"6767","CHEMICAL AND EXPLOSIVE DETECTION"
"6768","MOLECULAR VIBRATIONAL SPECTROSCOPY"
"6769","ELEMENTAL IMAGING"
"6770","LASER SCANNING"
"6771","LASER INDUCED BREAKDOWN"
"6772","MOLECULAR"
"6773","CLUSTER ANALYSIS"
"6774","UNSUPERVISED LEARNING METHODS"
"6775","KNN"
"6776","SEMI-SUPERVISED LEARNING"
"6777","LONG-WAVE INFRARED SPECTRA"
"6778","GEANT4"
"6779","PURE ELEMENT SPECTRA"
"6780","DEUTERIUM-DEUTERIUM REACTION"
"6781","MCNP6"
"6782","ISOTOPOMER"
"6783","MOLECULAR VIBRATION"
"6784","RAMAN AND INFRARED SPECTROSCOPY"
"6785","DOSE"
"6786","DRONES"
"6787","MONTE CARLO METHOD"
"6788","SBRS TECHNIQUE"
"6789","NEUTRON ELASTIC SCATTER"
"6790","DETECTION OF EXPLOSIVES & ILLICIT SUBSTANCES"
"6791","DIELECTRIC SPECTROSCOPY"
"6792","MICROWAVE DETECTION"
"6793","NMR DETECTION"
"6794","CONTINUOUS WAVE OPERATION"
"6795","DIFFERENCE FREQUENCY GENERATION"
"6796","MONOLITHIC TUNING"
"6797","TERAHERTZ SOURCE"
"6798","TERAHERTZ DETECTORS"
"6799","TERAHERTZ MICROSCOPY"
"6800","TERAHERTZ SOURCES"
"6801","IDENTIFICATION OF EXPLOSIVES AND DRUGS"
"6802","A FEW-CYCLE PULSE"
"6803","COMPUTER SIMULATION"
"6804","DISORDERED STRUCTURE"
"6805","PULSED THZ TDS"
"6806","ARRAY OF MAGNETOMETERS"
"6807","ATOMIC MAGNETOMETERS"
"6808","RADIO-FREQUENCY INTERFERENCE MITIGATION"
"6809","UNSHIELDED DETECTION"
"6810","CONCEALED BULK EXPLOSIVE"
"6811","ELEMENT NUMBER RATIO"
"6812","EXPLOSIVE TYPE IDENTIFICATION"
"6813","TNA"
"6814","14C ABUNDANCE"
"6815","NUCLEAR WARHEAD DISMANTLEMENT"
"6816","SOURCE AUTHENTICATION OF EXPLOSIVE"
"6817","FORENSIC ANALYTICAL"
"6818","FRAUDS"
"6819","NMR APPLICATION"
"6820","PLANT-BASED DRUGS"
"6821","POISONING"
"6822","POSTMORTEM"
"6823","SYNTHETICS DRUGS"
"6824","SI-PIN PHOTODIODES"
"6825","COMPUTED TOMOGRAPHY"
"6826","EXPLOSIVES DISPOSAL UNIT"
"6827","LAGS"
"6828","LIQUID THREATS"
"6829","BUBBLE GROWTH"
"6830","COMPOSITE POWDER"
"6831","MICROEXPLOSION"
"6832","PHASE CONTRAST IMAGING"
"6833","SPECTRA"
"6834","FALSE RESPONSE"
"6835","TANDEM MASS SPECTROMETRY(MS)"
"6836","SHIFT REAGENT"
"6837","STRUCTURE OPTIMIZATION"
"6838","LASER IONIZATION"
"6839","ANALYTICAL FIGURES OF MERIT"
"6840","CONDITIONAL REDUCED MOBILITY"
"6841","FALSE POSITIVE RESPONSES"
"6842","METHOD VALIDATION PARAMETERS"
"6843","NEGATIVE ION SOURCE"
"6844","THERMAL IONIZATION"
"6845","ANALYTE EXTRACTION"
"6846","APTAMERS"
"6847","IMMUNOSORBENTS"
"6848","SAMPLE PRECONCENTRATION"
"6849","BURNING SMELL"
"6850","EXPLOSIVE SMELL"
"6851","LDA"
"6852","PRINTED E-NOSE"
"6853","SNO2 NANOWIRE"
"6854","RGO-SRTIO3 NANOCOMPOSITE"
"6855","TIME-RESOLVED SPECTROSCOPY"
"6856","CYCLODEXTRINS"
"6857","GUEST CHEMISTRY"
"6858","AU@AG NANOPARTICLES"
"6859","COLORIMETRIC PAPER SENSOR"
"6860","MIMETIC"
"6861","MOF NANOCOMPOSITES"
"6862","SIDE ATTACK EXPLOSIVE DETECTION"
"6863","VOXEL SPACE RADAR"
"6864","SOLID-STATE REACTIONS"
"6865","COLORIMETRIC IMMUNOASSAY"
"6866","GRIESS REAGENT"
"6867","HAPTEN DESIGN"
"6868","NITRO-EXPLOSIVE"
"6869","SPECIFIC ANTIBODIES"
"6870","NITROGEN DIOXIDE"
"6871","TWISTED INTRAMOLECULAR CHARGE TRANSFER (TICT)"
"6872","DISCRIMINATION"
"6873","TWO-DIMENSIONAL ELECTROCHEMILUMINESCENCE"
"6874","MONO-LAYER"
"6875","POLARIZATION INSENSITIVE"
"6876","TRIPLE-BAND"
"6877","ULTRATHIN AND WIDE-ANGLE"
"6878","ELECTROANALYTICAL CHEMISTRY"
"6879","FIELD ASSAY"
"6880","ARDUINO"
"6881","ERW"
"6882","SUPER YELLOW"
"6883","OPTICAL GAS SENSOR"
"6884","PORPHYRIN FILMS"
"6885","BI(III) COMPLEX"
"6886","FLUORIMETRIC DETECTIONS"
"6887","LUMINESCENT PROBES"
"6888","MULTICOMPONENT MIXTURES"
"6889","RGO"
"6890","SCHOTTKY JUNCTION"
"6891","MAGNETIC ANOMALY DETECTION"
"6892","NEAREST NEIGHBORHOOD ALGORITHM"
"6893","MAGNETIC FIELD MEASUREMENT"
"6894","REMOTE MEASUREMENT"
"6895","DIELECTRIC MEASUREMENT"
"6896","M-SEQUENCE SYSTEM"
"6897","PERMITTIVITY"
"6898","ULTRA WIDEBAND TECHNOLOGY"
"6899","CD-BASED MOF"
"6900","HIGH REFRACTIVE INDEX"
"6901","MULTICOMPONENT POLYMERIZATION"
"6902","STEREOSELECTIVITY"
"6903","CARBON NANOTUBE-BASED SENSOR"
"6904","CHEMIRESISTIVE"
"6905","CYCLOHEXANONE"
"6906","HALOGEN BONDING"
"6907","ELECTRONIC PROTOTYPE"
"6908","SINGLE CRYSTALLINE NAPHTHALENE DIIMIDE"
"6909","VAPOR-MODE"
"6910","Π-Π INTERACTIONS"
"6911","CHEMIRESISTIVE SENSING"
"6912","PEROXIDE BASED EXPLOSIVES"
"6913","THICK FILM SENSORS"
"6914","POLYSILOXANE"
"6915","TETRAPHENYLETHENE"
"6916","ELECTROCHEMILUMINESCENCE"
"6917","POLYPEPTIDES"
"6918","SCREEN PRINTED ELECTRODES"
"6919","SILICA NANOPORES"
"6920","OPTICAL FIBER TAPER"
"6921","PHOTO-PLATING"
"6922","EXPLOSIVE DETECTOR SENSOR"
"6923","GFETS"
"6924","GRAPHENE TRANSFER"
"6925","ZN(II)"
"6926","METALÒORGANIC GELS"
"6927","METATHESIS"
"6928","AG NANOCLUSTERS"
"6929","P-NITROPHENOL"
"6930","POLYETHYLENEIMINE"
"6931","N BALANCE"
"6932","N2O"
"6933","NH3-SCR"
"6934","NH4NO3"
"6935","HEAT ABSORPTION MONITORING"
"6936","MEMS SENSOR"
"6937","CELLULOSE ACETATE"
"6938","ELECTROSPUN NANOFIBERS"
"6939","RHODAMINE"
"6940","ALKYNE LIGAND"
"6941","LIGAND EXCHANGE"
"6942","ORGANOMETALLIC NANOPARTICLES"
"6943","RHODIUM NANOPARTICLE"
"6944","CAPACITIVE MICROSENSORS"
"6945","THSI2-TYPE TOPOLOGY"
"6946","ZN-MOF"
"6947","CAVITY RING-DOWN SPECTROSCOPY (CRDS)"
"6948","MECHANISM OF TATP THERMAL DECOMPOSITION"
"6949","MID-INFRARED SPECTRUM"
"6950","PEROXY RADICAL CHEMICAL AMPLIFICATION (PERCA)"
"6951","TRACE SENSING"
"6952","DETECTION CAPACITY"
"6953","FE3+ ION"
"6954","LONG PERIOD GRATING"
"6955","DIBENZOTHIOPHENE"
"6956","DESORPTION IONIZATION"
"6957","DESORPTION MECHANISMS"
"6958","DETECTION OF TAGGANTS IN EXPLOSIVES"
"6959","PHTHALOCYANINE THIN FILMS"
"6960","PENTAERYTHRITOL TETRANITRATE (PETN)"
"6961","GENERATIVE ADVERSARIAL NETWORK"
"6962","HAND-HELD EXPLOSIVE HAZARD"
"6963","SILICON NANOWIRE FET"
"6964","SULFURIC ACID"
"6965","AMINO ACID SEQUENCE"
"6966","COMPLEMENTARITY DETERMINING REGION"
"6967","NITRO EXPLOSIVES SENSING"
"6968","QUENCHING EFFICIENCY"
"6969","DESENSITIZATION OF EXPLOSIVES"
"6970","SENSING OF EXPLOSIVES"
"6971","CADMIUM"
"6972","SENSING OF NITRO-EXPLOSIVES"
"6973","ACTIVATED AZIDES"
"6974","METAL-FREE POLY-CYCLOADDITION"
"6975","MULTIFUNCTIONALITY"
"6976","POLYTRIAZOLES"
"6977","NANOWIRES AND NANOCRYSTALS"
"6978","NON-POLYMERIC MATERIALS AND COMPOSITES"
"6979","OPTICAL AND PHOTOVOLTAIC APPLICATIONS"
"6980","EXPLOSIVE/DRUG DETECTION"
"6981","MULTI-CHANNEL DESIGN"
"6982","QUENCHING CURVE"
"6983","CRYSTAL PACKING"
"6984","MOLECULAR DYADS"
"6985","SOLVATOCHROMISM"
"6986","DIFFERENTIAL ABSORPTION AND SCATTERING"
"6987","NONLINEAR CRYSTAL"
"6988","PARAMETRIC LASER"
"6989","AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) N42.59"
"6990","DEPTH RESOLUTION"
"6991","DYNAMIC RANGE"
"6992","ILLUMINATION COVERAGE/HOMOGENEITY"
"6993","IMAGE QUALITY"
"6994","SPATIAL RESOLUTION"
"6995","DYNAMIC BEAM STABILIZATION"
"6996","INFRARED IMAGING"
"6997","COMPACT"
"6998","MID-INFRARED SPECTROSCOPY"
"6999","REAL-TIME SPECTROSCOPY"
"7000","GPR"
"7001","SHORT-TIME MATRIX PENCIL METHOD"
"7002","SINGULARITY EXPANSION METHOD"
"7003","A-MAC PROTOCOL"
"7004","SENSOR NETWORKS"
"7005","SURVEILLANCE SYSTEMS"
"7006","TERRORIST ATTACKS"
"7007","FOURTH HARMONIC GENERATION"
"7008","PASSIVE Q-SWITCHING"
"7009","SOLID-STATE LASERS"
"7010","YB:YAG"
"7011","CHEMICAL WARFARE AGENT DETECTION"
"7012","STANDOFF AND PROXIMAL SURFACE CONTAMINANT DETECTION"
"7013","TIC AND TIM DETECTION"
"7014","CONCEALED EXPLOSIVES"
"7015","DIGITAL SIGNAL PROCESSING"
"7016","AERODYNAMIC REACH"
"7017","REMOTE SAMPLING"
"7018","VAPOR AND AEROSOL DETECTION"
"7019","VENTURI-ASSISTED ENTRAINMENT"
"7020","LASER DOPPLER VIBROMETER"
"7021","PHOTOACOUSTIC EFFECT"
"7022","SPECTROMETERS AND SPECTROSCOPIC INSTRUMENTATION"
"7023","AND SPECTROSCOPY"
"7024","TRACE CHEMICALS & EXPLOSIVES"
"7025","ACTIVE HYPERSPECTRAL IMAGING"
"7026","EXTERNAL CAVITY QUANTUM CASCADE LASERS"
"7027","STAND-OFF DETECTION OF EXPLOSIVES"
"7028","SHORT-WAVE INFRARED (SWIR)"
"7029","WIDE-AREA"
"7030","TIME-GATED UVÒRAMAN SPECTROSCOPY"
"7031","PRE-RESONANCE RAMAN SPECTROSCOPY"
"7032","ULTRAVIOLET (UV) RESONANCE RAMAN"
"7033","WIDE-FIELD IMAGING"
"7034","DEEP UV RAMAN"
"7035","NATIVE FLUORESCENCE"
"7036","NOBLE LIQUID DETECTORS (SCINTILLATION, IONIZATION, DOUBLEPHASE)"
"7037","FOCAL PLANE ARRAY"
"7038","PHOTOTHERMAL"
"7039","ECOLOGY"
"7040","QUADROCOPTER"
"7041","AUTOMATIZATION"
"7042","BIOMIMETIC SENSING"
"7043","FIELD DEPLOYABLE SENSORS"
"7044","HIGH SELECTIVITY SENSORS"
"7045","DIODE LASER SPECTROSCOPY"
"7046","TEMPERATURE MEASUREMENT"
"7047","IMAGING LASER BACKSCATTERING SPECTROSCOPY"
"7048","INLINE SPECTROSCOPIC ANALYSIS"
"7049","MOEMS GRATING"
"7050","QUANTUM CASCADE LASER BASED SPECTROSCOPY"
"7051","EVALUATION OF DETECTION SYSTEMS"
"7052","PRINTING OF STANDARDS"
"7053","PHOTOACOUSTIC SENSOR"
"7054","ULTRASONIC PHOTOACOUSTIC SPECTROSCOPY"
"7055","PORTABLE RAMAN SPECTROSCOPY"
"7056","ADVANCED IMAGING TECHNOLOGY"
"7057","AIT"
"7058","DETECTION ALGORITHMS"
"7059","HYPERSPECTRAL INFRARED SPECTROSCOPY"
"7060","ULTRAVIOLET RAMAN SPECTROSCOPY"
"7061","SMALL SIGNAL"
"7062","DEEP ULTRAVIOLET LASERS"
"7063","MODIFIED TRANSIENT PLANE SOURCE"
"7064","MTPS"
"7065","CYCLOTRIMETHYLENE-TRINITRMAINE"
"7066","REGRESSION ANALYSIS"
"7067","VISUAL EXAMINATION"
"7068","CHEMICAL SAFETY"
"7069","DETONATION AND BALLISTIC PROPERTIES"
"7070","THEORETICAL ANALYSIS"
"7071","ASSISTED-IGNITION"
"7072","CHEMICAL EXPLOSIVE MODE ANALYSIS"
"7073","LAMINAR FLAME SPEED"
"7074","PREMIXED FLAME"
"7075","CONFINEMENT"
"7076","EMPIRICAL RELATIONSHIP"
"7077","FRAGMENT LAUNCHING DEVICE"
"7078","FRAGMENT SIZE"
"7079","INSENSITIVE MUNITION TEST"
"7080","COMPRESSED BALLOON METHOD"
"7081","HOMOGENEOUS HIGH EXPLOSIVES"
"7082","LES"
"7083","TURBULENT MIXING"
"7084","FINGERPRINT RESIDUE"
"7085","QUESTIONED DOCUMENTS"
"7086","SCANNING PROBE MICROSCOPY"
"7087","DESTRUCTIVE CRIME SCENES"
"7088","FLUORESCENT WET POWDER"
"7089","LATENT PRINTS"
"7090","COPPER (II) OXIDE"
"7091","FORENSIC ARCHAEOLOGY"
"7092","SEARCH AND RECOVERY"
"7093","COMBINATION OF EQUIPMENT"
"7094","FALSE ALARM RATE (FAR)"
"7095","LIQUID EXPLOSIVES DETECTION SYSTEMS (LEDS)"
"7096","LIQUID, AEROSOLS AND GELS (LAGS)"
"7097","PLATE DENT TEST"
"7098","CLASSIFICATION MODEL"
"7099","EXPLOSIVE DISCRIMINATION MODEL"
"7100","PERMUTATION TEST"
"7101","MULTIPOINT INITIATION"
"7102","SIMULTANEITY"
"7103","REACTIVE TWO-PHASE FLOW"
"7104","AIRPORT SECURITY X-RAY SCREENING"
"7105","THERMOCOUPLE CORROSION"
"7106","CURVED DETONATION WAVE"
"7107","DIAMETER EFFECT"
"7108","PROPAGATION"
"7109","CHARACTERISTIC CURVE"
"7110","MICRO-HOTSPOT MODEL"
"7111","OPTICAL DETONATOR"
"7112","BALLISTIC MORTAR TEST"
"7113","TRAUZL LEAD BLOCK TEST"
"7114","CCD"
"7115","DPT"
"7116","EFFICIENCY"
"7117","PRODUCTION CAPACITY"
"7118","BLAST EFFECT"
"7119","SCALED DISTANCE"
"7120","B/CUO DELAY COMPOSITIONS"
"7121","LOW-TOXICITY"
"7122","PRESSURE-CONDUCTION"
"7123","VELOCITY PROBE"
"7124","AQUARIUM TEST"
"7125","CONTINUOUS VELOCITY PROBE"
"7126","IMPEDANCE MATCHING"
"7127","INERT MATERIALS"
"7128","AL ACCELERATION"
"7129","HEAT EXCHANGE"
"7130","MICROMETER AL POWDERS"
"7131","TERRORISMS"
"7132","TUBE BOMB"
"7133","EXPERTISE"
"7134","VOD"
"7135","CONCRETE"
"7136","REINFORCEMENTS"
"7137","FRAGMENT WEIGHT DISTRIBUTION MAPS"
"7138","GURNEY ENERGIES"
"7139","SAFE RADIUS"
"7140","DIFFERENTIAL IMPEDANCE"
"7141","ELECTRO-EXPLOSIVE DEVICE (EED)"
"7142","HOT-WIRE DETONATOR"
"7143","MIXED S-PARAMETERS MEASUREMENT"
"7144","CLASSIFIED ORGANISATIONS"
"7145","FOLKSONOMIES"
"7146","KNOWLEDGE RETRIEVAL"
"7147","PERSONALISATION"
"7148","RECOMMENDER SYSTEMS"
"7149","SEMANTIC ENRICHMENT"
"7150","ENERGY DISTRIBUTION"
"7151","HIGH-SPEED IMAGING"
"7152","EXPLOSIVE CHARGES"
"7153","HIGH SPEED IMAGING"
"7154","NEURONS"
"7155","PRESSURE WAVES"
"7156","TISSUES"
"7157","MEASUREMENT OF RELATIVE PERMITTIVITY"
"7158","MILLIMETER-WAVE"
